step,dataset,drift,model,acc,f1,precision,recall,ap
drift,NF-UNSW-NB15-v3.csv,clean,AE,0.9856666666666667,0.8795518207282913,0.785,1.0,0.8532608695652174
drift,NF-UNSW-NB15-v3.csv,clean,LSTM,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,clean,DSFANet,0.9996666666666667,0.9968051118210862,1.0,0.9936305732484076,1.0
drift,NF-UNSW-NB15-v3.csv,clean,Stacking,1.0,1.0,1.0,1.0,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,clean,XGBoostStacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,AE,0.9956666666666667,0.9973090457462224,0.9946325350949629,1.0,0.9975155279503105
drift,NF-UNSW-NB15-v3.csv,label_shift,LSTM,1.0,1.0,1.0,1.0,0.9999999999999999
drift,NF-UNSW-NB15-v3.csv,label_shift,DSFANet,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,Stacking,1.0,1.0,1.0,1.0,1.0
drift,NF-UNSW-NB15-v3.csv,label_shift,XGBoostStacking,0.9996666666666667,0.9997924019099025,1.0,0.9995848899958489,1.0
drift,NF-UNSW-NB15-v3.csv,corruption,AE,0.05333333333333334,0.10126582278481013,0.05333333333333334,1.0,0.05333333333333334
drift,NF-UNSW-NB15-v3.csv,corruption,LSTM,0.731,0.269683257918552,0.15767195767195769,0.93125,0.17867098065700707
drift,NF-UNSW-NB15-v3.csv,corruption,DSFANet,0.899,0.4991735537190083,0.3393258426966292,0.94375,0.5051124527353154
drift,NF-UNSW-NB15-v3.csv,corruption,Stacking,0.959,0.7064439140811456,0.5714285714285714,0.925,0.9149191963519623
drift,NF-UNSW-NB15-v3.csv,corruption,XGBoostStacking,0.8196666666666667,0.2679296346414073,0.17098445595854922,0.61875,0.1866009521143822
drift,NF-UNSW-NB15-v3.csv,natural_NF_BoT_IoT_v3,AE,0.9613333333333334,0.9802855200543847,0.9613333333333334,1.0,0.9613333333333334
drift,NF-UNSW-NB15-v3.csv,natural_NF_BoT_IoT_v3,LSTM,0.6736666666666666,0.8030577348622008,0.9563967417345473,0.6920943134535368,0.968354213133265
drift,NF-UNSW-NB15-v3.csv,natural_NF_BoT_IoT_v3,DSFANet,0.684,0.8091787439613527,0.9644913627639156,0.6969486823855756,0.96802507058368
drift,NF-UNSW-NB15-v3.csv,natural_NF_BoT_IoT_v3,Stacking,0.6846666666666666,0.8095046314941603,0.9654178674351584,0.6969486823855756,0.951869411384554
drift,NF-UNSW-NB15-v3.csv,natural_NF_BoT_IoT_v3,XGBoostStacking,0.6586666666666666,0.7876399834093737,0.9798761609907121,0.6584604715672677,0.9652130256963979
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,AE,0.5,0.1730981256890849,0.09474954737477369,1.0,0.0950938824954573
drift,NF-UNSW-NB15-v3.csv,adv_fgsm,LSTM,0.49966666666666665,0.14861032331253546,0.08156911581569116,0.8343949044585988,0.11586792281810496
